chrom	type	start	end	strand	attributes
chr1	gene	32361269	32364277	-	ID=ENSG00000225828.2;gene_id=ENSG00000225828.2;gene_type=protein_coding;gene_name=FAM229A;level=2;hgnc_id=HGNC:44652;havana_gene=OTTHUMG00000007587.6
chr1	gene	32364632	32394730	-	ID=ENSG00000160058.19;gene_id=ENSG00000160058.19;gene_type=protein_coding;gene_name=BSDC1;level=1;hgnc_id=HGNC:25501;havana_gene=OTTHUMG00000007588.7
chr1	gene	32465056	32600791	+	ID=ENSG00000254553.1;gene_id=ENSG00000254553.1;gene_type=protein_coding;gene_name=ENSG00000254553;level=2;tag=overlapping_locus,readthrough_gene;havana_gene=OTTHUMG00000167086.2
chr1	gene	32465071	32496685	+	ID=ENSG00000273274.2;gene_id=ENSG00000273274.2;gene_type=protein_coding;gene_name=ZBTB8B;level=2;hgnc_id=HGNC:37057;tag=overlapping_locus;havana_gene=OTTHUMG00000167087.3
chr1	gene	32539426	32605940	+	ID=ENSG00000160062.15;gene_id=ENSG00000160062.15;gene_type=protein_coding;gene_name=ZBTB8A;level=2;hgnc_id=HGNC:24172;tag=overlapping_locus;havana_gene=OTTHUMG00000007855.7
chr1	gene	32600171	32650902	-	ID=ENSG00000176261.16;gene_id=ENSG00000176261.16;gene_type=protein_coding;gene_name=ZBTB8OS;level=2;hgnc_id=HGNC:24094;havana_gene=OTTHUMG00000007856.9
chr1	gene	32651141	32686210	+	ID=ENSG00000162521.19;gene_id=ENSG00000162521.19;gene_type=protein_coding;gene_name=RBBP4;level=2;hgnc_id=HGNC:9887;havana_gene=OTTHUMG00000007998.14
chr1	gene	32679905	32703595	-	ID=ENSG00000162520.15;gene_id=ENSG00000162520.15;gene_type=protein_coding;gene_name=SYNC;level=2;hgnc_id=HGNC:28897;havana_gene=OTTHUMG00000008087.7
chr1	gene	32741829	32774969	+	ID=ENSG00000162522.11;gene_id=ENSG00000162522.11;gene_type=protein_coding;gene_name=KIAA1522;level=1;hgnc_id=HGNC:29301;havana_gene=OTTHUMG00000008088.7
chr1	gene	32775236	32818030	-	ID=ENSG00000134684.13;gene_id=ENSG00000134684.13;gene_type=protein_coding;gene_name=YARS1;level=2;hgnc_id=HGNC:12840;havana_gene=OTTHUMG00000003933.2
chr1	gene	32816766	32858874	+	ID=ENSG00000116497.18;gene_id=ENSG00000116497.18;gene_type=protein_coding;gene_name=S100PBP;level=2;hgnc_id=HGNC:25768;havana_gene=OTTHUMG00000003955.9
chr1	gene	32862267	32872481	-	ID=ENSG00000160097.20;gene_id=ENSG00000160097.20;gene_type=protein_coding;gene_name=FNDC5;level=2;hgnc_id=HGNC:20240;havana_gene=OTTHUMG00000004015.6
chr1	gene	32885993	32898440	+	ID=ENSG00000121905.10;gene_id=ENSG00000121905.10;gene_type=protein_coding;gene_name=HPCA;level=2;hgnc_id=HGNC:5144;havana_gene=OTTHUMG00000004017.3
chr1	gene	32894593	32901437	-	ID=ENSG00000121900.19;gene_id=ENSG00000121900.19;gene_type=protein_coding;gene_name=TMEM54;level=2;hgnc_id=HGNC:24143;havana_gene=OTTHUMG00000004016.4
chr1	gene	32936444	32964808	-	ID=ENSG00000116514.17;gene_id=ENSG00000116514.17;gene_type=protein_coding;gene_name=RNF19B;level=2;hgnc_id=HGNC:26886;havana_gene=OTTHUMG00000004013.4
chr1	gene	33007985	33080995	-	ID=ENSG00000004455.18;gene_id=ENSG00000004455.18;gene_type=protein_coding;gene_name=AK2;level=1;hgnc_id=HGNC:362;tag=ncRNA_host;havana_gene=OTTHUMG00000004131.7
chr1	gene	33081103	33123491	+	ID=ENSG00000142920.17;gene_id=ENSG00000142920.17;gene_type=protein_coding;gene_name=AZIN2;level=2;hgnc_id=HGNC:29957;havana_gene=OTTHUMG00000004130.6
chr1	gene	33145398	33182058	-	ID=ENSG00000116525.14;gene_id=ENSG00000116525.14;gene_type=protein_coding;gene_name=TRIM62;level=1;hgnc_id=HGNC:25574;havana_gene=OTTHUMG00000004132.5
chr1	gene	33256491	33300718	+	ID=ENSG00000160094.15;gene_id=ENSG00000160094.15;gene_type=protein_coding;gene_name=ZNF362;level=2;hgnc_id=HGNC:18079;tag=overlapping_locus;havana_gene=OTTHUMG00000004124.6
chr1	gene	33306765	33321097	-	ID=ENSG00000184389.9;gene_id=ENSG00000184389.9;gene_type=protein_coding;gene_name=A3GALT2;level=2;hgnc_id=HGNC:30005;havana_gene=OTTHUMG00000004125.4
chr1	gene	33323622	33431094	-	ID=ENSG00000134686.21;gene_id=ENSG00000134686.21;gene_type=protein_coding;gene_name=PHC2;level=2;hgnc_id=HGNC:3183;tag=ncRNA_host;havana_gene=OTTHUMG00000004133.1
chr1	gene	33472644	33501642	+	ID=ENSG00000121903.15;gene_id=ENSG00000121903.15;gene_type=protein_coding;gene_name=ZSCAN20;level=2;hgnc_id=HGNC:13093;havana_gene=OTTHUMG00000004173.3
chr1	gene	33513997	34165841	-	ID=ENSG00000121904.19;gene_id=ENSG00000121904.19;gene_type=protein_coding;gene_name=CSMD2;level=2;hgnc_id=HGNC:19290;havana_gene=OTTHUMG00000011135.10
chr1	gene	33860474	33864790	+	ID=ENSG00000176256.11;gene_id=ENSG00000176256.11;gene_type=protein_coding;gene_name=HMGB4;level=2;hgnc_id=HGNC:24954;havana_gene=OTTHUMG00000013143.3
chr1	gene	34166882	34219130	+	ID=ENSG00000142698.15;gene_id=ENSG00000142698.15;gene_type=protein_coding;gene_name=C1orf94;level=2;hgnc_id=HGNC:28250;havana_gene=OTTHUMG00000004012.5
chr1	gene	34712736	34859754	-	ID=ENSG00000163866.9;gene_id=ENSG00000163866.9;gene_type=protein_coding;gene_name=SMIM12;level=2;hgnc_id=HGNC:25154;tag=overlapping_locus;havana_gene=OTTHUMG00000004375.4
chr1	gene	34755046	34758511	+	ID=ENSG00000189280.3;gene_id=ENSG00000189280.3;gene_type=protein_coding;gene_name=GJB5;level=2;hgnc_id=HGNC:4287;havana_gene=OTTHUMG00000004053.1
chr1	gene	34759739	34762326	+	ID=ENSG00000189433.7;gene_id=ENSG00000189433.7;gene_type=protein_coding;gene_name=GJB4;level=2;hgnc_id=HGNC:4286;havana_gene=OTTHUMG00000004052.3
chr1	gene	34781213	34786368	+	ID=ENSG00000188910.8;gene_id=ENSG00000188910.8;gene_type=protein_coding;gene_name=GJB3;level=2;hgnc_id=HGNC:4285;havana_gene=OTTHUMG00000004051.2
chr1	gene	34792998	34795746	+	ID=ENSG00000187513.9;gene_id=ENSG00000187513.9;gene_type=protein_coding;gene_name=GJA4;level=2;hgnc_id=HGNC:4278;havana_gene=OTTHUMG00000004050.3
chr1	gene	34865435	34929649	-	ID=ENSG00000116544.12;gene_id=ENSG00000116544.12;gene_type=protein_coding;gene_name=DLGAP3;level=2;hgnc_id=HGNC:30368;havana_gene=OTTHUMG00000004049.2
chr1	gene	34974355	34985312	-	ID=ENSG00000284773.1;gene_id=ENSG00000284773.1;gene_type=protein_coding;gene_name=ENSG00000284773;level=2;tag=overlapping_locus,readthrough_gene;havana_gene=OTTHUMG00000192527.1
chr1	gene	34981379	34985346	-	ID=ENSG00000243749.2;gene_id=ENSG00000243749.2;gene_type=protein_coding;gene_name=TMEM35B;level=1;hgnc_id=HGNC:40021;tag=overlapping_locus;havana_gene=OTTHUMG00000004158.1
chr1	gene	34981532	35031740	-	ID=ENSG00000271741.1;gene_id=ENSG00000271741.1;gene_type=protein_coding;gene_name=ENSG00000271741;level=2;tag=overlapping_locus,readthrough_gene;havana_gene=OTTHUMG00000185379.1
chr1	gene	34986164	35031944	-	ID=ENSG00000163867.17;gene_id=ENSG00000163867.17;gene_type=protein_coding;gene_name=ZMYM6;level=2;hgnc_id=HGNC:13050;tag=overlapping_locus;havana_gene=OTTHUMG00000004163.6
chr1	gene	35032171	35115858	+	ID=ENSG00000197056.11;gene_id=ENSG00000197056.11;gene_type=protein_coding;gene_name=ZMYM1;level=1;hgnc_id=HGNC:26253;havana_gene=OTTHUMG00000004374.6
chr1	gene	35176377	35193445	-	ID=ENSG00000116560.12;gene_id=ENSG00000116560.12;gene_type=protein_coding;gene_name=SFPQ;level=2;hgnc_id=HGNC:10774;havana_gene=OTTHUMG00000004157.8
chr1	gene	35268708	35422057	+	ID=ENSG00000146463.12;gene_id=ENSG00000146463.12;gene_type=protein_coding;gene_name=ZMYM4;level=2;hgnc_id=HGNC:13055;tag=ncRNA_host,overlapping_locus;havana_gene=OTTHUMG00000004241.6
chr1	gene	35393882	35557949	-	ID=ENSG00000142687.19;gene_id=ENSG00000142687.19;gene_type=protein_coding;gene_name=KIAA0319L;level=1;hgnc_id=HGNC:30071;havana_gene=OTTHUMG00000004370.7
chr1	gene	35557472	35567273	+	ID=ENSG00000020129.16;gene_id=ENSG00000020129.16;gene_type=protein_coding;gene_name=NCDN;level=2;hgnc_id=HGNC:17597;havana_gene=OTTHUMG00000059204.4
chr1	gene	35573313	35595327	+	ID=ENSG00000116819.9;gene_id=ENSG00000116819.9;gene_type=protein_coding;gene_name=TFAP2E;level=2;hgnc_id=HGNC:30774;havana_gene=OTTHUMG00000004388.3
chr1	gene	35599540	35641525	-	ID=ENSG00000126067.12;gene_id=ENSG00000126067.12;gene_type=protein_coding;gene_name=PSMB2;level=2;hgnc_id=HGNC:9539;havana_gene=OTTHUMG00000004169.3
chr1	gene	35713876	35718893	-	ID=ENSG00000142686.8;gene_id=ENSG00000142686.8;gene_type=protein_coding;gene_name=C1orf216;level=2;hgnc_id=HGNC:26800;havana_gene=OTTHUMG00000004167.4
chr1	gene	35720217	35769977	-	ID=ENSG00000092853.14;gene_id=ENSG00000092853.14;gene_type=protein_coding;gene_name=CLSPN;level=2;hgnc_id=HGNC:19715;havana_gene=OTTHUMG00000004168.7
chr1	gene	35808015	35857889	+	ID=ENSG00000134698.11;gene_id=ENSG00000134698.11;gene_type=protein_coding;gene_name=AGO4;level=2;hgnc_id=HGNC:18424;havana_gene=OTTHUMG00000004243.5
chr1	gene	35869807	35930531	+	ID=ENSG00000092847.14;gene_id=ENSG00000092847.14;gene_type=protein_coding;gene_name=AGO1;level=2;hgnc_id=HGNC:3262;havana_gene=OTTHUMG00000007381.6
chr1	gene	35930717	36072499	+	ID=ENSG00000126070.20;gene_id=ENSG00000126070.20;gene_type=protein_coding;gene_name=AGO3;level=2;hgnc_id=HGNC:18421;havana_gene=OTTHUMG00000184172.5
chr1	gene	36084093	36088274	+	ID=ENSG00000092850.12;gene_id=ENSG00000092850.12;gene_type=protein_coding;gene_name=TEKT2;level=2;hgnc_id=HGNC:11725;havana_gene=OTTHUMG00000007629.4
chr1	gene	36088891	36093931	+	ID=ENSG00000116863.11;gene_id=ENSG00000116863.11;gene_type=protein_coding;gene_name=ADPRS;level=2;hgnc_id=HGNC:21304;havana_gene=OTTHUMG00000007628.3
chr1	gene	36095238	36125221	-	ID=ENSG00000171812.13;gene_id=ENSG00000171812.13;gene_type=protein_coding;gene_name=COL8A2;level=2;hgnc_id=HGNC:2216;havana_gene=OTTHUMG00000007665.7
chr1	gene	36136569	36156052	-	ID=ENSG00000054116.12;gene_id=ENSG00000054116.12;gene_type=protein_coding;gene_name=TRAPPC3;level=2;hgnc_id=HGNC:19942;havana_gene=OTTHUMG00000007664.4
chr1	gene	36155578	36180848	+	ID=ENSG00000116871.16;gene_id=ENSG00000116871.16;gene_type=protein_coding;gene_name=MAP7D1;level=1;hgnc_id=HGNC:25514;havana_gene=OTTHUMG00000007714.6
chr1	gene	36224431	36305356	+	ID=ENSG00000054118.15;gene_id=ENSG00000054118.15;gene_type=protein_coding;gene_name=THRAP3;level=2;hgnc_id=HGNC:22964;havana_gene=OTTHUMG00000007866.8
chr1	gene	36306367	36329339	+	ID=ENSG00000214193.11;gene_id=ENSG00000214193.11;gene_type=protein_coding;gene_name=SH3D21;level=2;hgnc_id=HGNC:26236;havana_gene=OTTHUMG00000007868.12
chr1	gene	36322029	36324153	-	ID=ENSG00000142694.7;gene_id=ENSG00000142694.7;gene_type=protein_coding;gene_name=EVA1B;level=2;hgnc_id=HGNC:25558;havana_gene=OTTHUMG00000007867.1
chr1	gene	36339623	36385923	-	ID=ENSG00000196182.11;gene_id=ENSG00000196182.11;gene_type=protein_coding;gene_name=STK40;level=2;hgnc_id=HGNC:21373;havana_gene=OTTHUMG00000008238.4
chr1	gene	36391237	36397907	-	ID=ENSG00000181817.6;gene_id=ENSG00000181817.6;gene_type=protein_coding;gene_name=LSM10;level=2;hgnc_id=HGNC:17562;havana_gene=OTTHUMG00000008140.2
chr1	gene	36415826	36450450	-	ID=ENSG00000116885.18;gene_id=ENSG00000116885.18;gene_type=protein_coding;gene_name=OSCP1;level=1;hgnc_id=HGNC:29971;tag=ncRNA_host;havana_gene=OTTHUMG00000008139.6
chr1	gene	36455717	36464383	-	ID=ENSG00000116898.12;gene_id=ENSG00000116898.12;gene_type=protein_coding;gene_name=MRPS15;level=2;hgnc_id=HGNC:14504;havana_gene=OTTHUMG00000008042.5
chr1	gene	36466042	36483277	-	ID=ENSG00000119535.19;gene_id=ENSG00000119535.19;gene_type=protein_coding;gene_name=CSF3R;level=2;hgnc_id=HGNC:2439;havana_gene=OTTHUMG00000008010.7
chr1	gene	36795526	37034514	-	ID=ENSG00000163873.10;gene_id=ENSG00000163873.10;gene_type=protein_coding;gene_name=GRIK3;level=2;hgnc_id=HGNC:4581;havana_gene=OTTHUMG00000004189.2
chr1	gene	37474579	37484376	+	ID=ENSG00000163874.11;gene_id=ENSG00000163874.11;gene_type=protein_coding;gene_name=ZC3H12A;level=1;hgnc_id=HGNC:26259;tag=ncRNA_host;havana_gene=OTTHUMG00000004221.5
chr1	gene	37489992	37514765	-	ID=ENSG00000163875.16;gene_id=ENSG00000163875.16;gene_type=protein_coding;gene_name=MEAF6;level=2;hgnc_id=HGNC:25674;tag=ncRNA_host;havana_gene=OTTHUMG00000004223.3
chr1	gene	37534448	37554292	-	ID=ENSG00000163877.11;gene_id=ENSG00000163877.11;gene_type=protein_coding;gene_name=SNIP1;level=2;hgnc_id=HGNC:30587;havana_gene=OTTHUMG00000004225.4
chr1	gene	37556918	37566856	+	ID=ENSG00000163879.11;gene_id=ENSG00000163879.11;gene_type=protein_coding;gene_name=DNALI1;level=2;hgnc_id=HGNC:14353;havana_gene=OTTHUMG00000004222.5
chr1	gene	37566815	37595936	-	ID=ENSG00000134697.13;gene_id=ENSG00000134697.13;gene_type=protein_coding;gene_name=GNL2;level=1;hgnc_id=HGNC:29925;havana_gene=OTTHUMG00000004322.5
chr1	gene	37611349	37634891	-	ID=ENSG00000169218.14;gene_id=ENSG00000169218.14;gene_type=protein_coding;gene_name=RSPO1;level=2;hgnc_id=HGNC:21679;havana_gene=OTTHUMG00000004321.5
chr1	gene	37681569	37692248	-	ID=ENSG00000116922.15;gene_id=ENSG00000116922.15;gene_type=protein_coding;gene_name=C1orf109;level=2;hgnc_id=HGNC:26039;havana_gene=OTTHUMG00000004323.6
chr1	gene	37692480	37709718	+	ID=ENSG00000134690.11;gene_id=ENSG00000134690.11;gene_type=protein_coding;gene_name=CDCA8;level=2;hgnc_id=HGNC:14629;havana_gene=OTTHUMG00000004320.2
chr1	gene	37713879	37765132	-	ID=ENSG00000183317.17;gene_id=ENSG00000183317.17;gene_type=protein_coding;gene_name=EPHA10;level=2;hgnc_id=HGNC:19987;tag=ncRNA_host;havana_gene=OTTHUMG00000004325.4
chr1	gene	37793846	37801136	+	ID=ENSG00000185090.15;gene_id=ENSG00000185090.15;gene_type=protein_coding;gene_name=MANEAL;level=2;hgnc_id=HGNC:26452;havana_gene=OTTHUMG00000004317.3
chr1	gene	37802944	37808207	-	ID=ENSG00000196449.4;gene_id=ENSG00000196449.4;gene_type=protein_coding;gene_name=YRDC;level=2;hgnc_id=HGNC:28905;havana_gene=OTTHUMG00000004318.2
chr1	gene	37806978	37809453	+	ID=ENSG00000197982.14;gene_id=ENSG00000197982.14;gene_type=protein_coding;gene_name=C1orf122;level=2;hgnc_id=HGNC:24789;havana_gene=OTTHUMG00000004319.7
chr1	gene	37809573	37859591	-	ID=ENSG00000188786.10;gene_id=ENSG00000188786.10;gene_type=protein_coding;gene_name=MTF1;level=2;hgnc_id=HGNC:7428;havana_gene=OTTHUMG00000004439.3
chr1	gene	37860696	37947056	-	ID=ENSG00000204084.13;gene_id=ENSG00000204084.13;gene_type=protein_coding;gene_name=INPP5B;level=2;hgnc_id=HGNC:6077;havana_gene=OTTHUMG00000004436.3
chr1	gene	37956974	37990074	-	ID=ENSG00000183431.12;gene_id=ENSG00000183431.12;gene_type=protein_coding;gene_name=SF3A3;level=2;hgnc_id=HGNC:10767;havana_gene=OTTHUMG00000004438.2
chr1	gene	37996769	38005605	-	ID=ENSG00000183386.10;gene_id=ENSG00000183386.10;gene_type=protein_coding;gene_name=FHL3;level=2;hgnc_id=HGNC:3704;havana_gene=OTTHUMG00000004434.3
chr1	gene	38009257	38024819	+	ID=ENSG00000183520.12;gene_id=ENSG00000183520.12;gene_type=protein_coding;gene_name=UTP11;level=2;hgnc_id=HGNC:24329;havana_gene=OTTHUMG00000004435.2
chr1	gene	38043828	38046792	-	ID=ENSG00000185668.8;gene_id=ENSG00000185668.8;gene_type=protein_coding;gene_name=POU3F1;level=2;hgnc_id=HGNC:9214;tag=retrogene;havana_gene=OTTHUMG00000000485.3
chr1	gene	38838197	38859771	-	ID=ENSG00000116954.8;gene_id=ENSG00000116954.8;gene_type=protein_coding;gene_name=RRAGC;level=2;hgnc_id=HGNC:19902;havana_gene=OTTHUMG00000000490.3
chr1	gene	38862492	38873367	-	ID=ENSG00000214114.9;gene_id=ENSG00000214114.9;gene_type=protein_coding;gene_name=MYCBP;level=2;hgnc_id=HGNC:7554;tag=overlapping_locus;havana_gene=OTTHUMG00000000484.8
chr1	gene	38864500	38881616	-	ID=ENSG00000274944.4;gene_id=ENSG00000274944.4;gene_type=protein_coding;gene_name=ENSG00000274944;level=2;tag=overlapping_locus,readthrough_gene;havana_gene=OTTHUMG00000187290.1
chr1	gene	38874068	38881586	-	ID=ENSG00000131233.10;gene_id=ENSG00000131233.10;gene_type=protein_coding;gene_name=GJA9;level=2;hgnc_id=HGNC:19155;tag=overlapping_locus;havana_gene=OTTHUMG00000000482.5
chr1	gene	38885806	38941829	-	ID=ENSG00000158315.11;gene_id=ENSG00000158315.11;gene_type=protein_coding;gene_name=RHBDL2;level=2;hgnc_id=HGNC:16083;havana_gene=OTTHUMG00000000487.4
chr1	gene	38991275	39006058	+	ID=ENSG00000174574.16;gene_id=ENSG00000174574.16;gene_type=protein_coding;gene_name=AKIRIN1;level=2;hgnc_id=HGNC:25744;havana_gene=OTTHUMG00000007496.3
chr1	gene	39026317	39034635	+	ID=ENSG00000168653.11;gene_id=ENSG00000168653.11;gene_type=protein_coding;gene_name=NDUFS5;level=2;hgnc_id=HGNC:7712;havana_gene=OTTHUMG00000007497.2
chr1	gene	39081315	39487176	+	ID=ENSG00000127603.32;gene_id=ENSG00000127603.32;gene_type=protein_coding;gene_name=MACF1;level=1;hgnc_id=HGNC:13664;havana_gene=OTTHUMG00000007754.17
chr1	gene	39491635	39529868	+	ID=ENSG00000183682.8;gene_id=ENSG00000183682.8;gene_type=protein_coding;gene_name=BMP8A;level=2;hgnc_id=HGNC:21650;tag=overlapping_locus;havana_gene=OTTHUMG00000008394.2
chr1	gene	39560708	39576789	-	ID=ENSG00000090621.15;gene_id=ENSG00000090621.15;gene_type=protein_coding;gene_name=PABPC4;level=1;hgnc_id=HGNC:8557;tag=ncRNA_host;havana_gene=OTTHUMG00000009097.7
chr1	gene	39623434	39639642	-	ID=ENSG00000163909.8;gene_id=ENSG00000163909.8;gene_type=protein_coding;gene_name=HEYL;level=2;hgnc_id=HGNC:4882;havana_gene=OTTHUMG00000000458.3
chr1	gene	39651228	39672106	-	ID=ENSG00000116981.4;gene_id=ENSG00000116981.4;gene_type=protein_coding;gene_name=NT5C1A;level=2;hgnc_id=HGNC:17819;havana_gene=OTTHUMG00000009244.2
chr1	gene	39678647	39691484	-	ID=ENSG00000116983.13;gene_id=ENSG00000116983.13;gene_type=protein_coding;gene_name=HPCAL4;level=2;hgnc_id=HGNC:18212;havana_gene=OTTHUMG00000009246.2
chr1	gene	39692181	39763913	+	ID=ENSG00000084072.17;gene_id=ENSG00000084072.17;gene_type=protein_coding;gene_name=PPIE;level=1;hgnc_id=HGNC:9258;tag=overlapping_locus;havana_gene=OTTHUMG00000009248.5
chr1	gene	39757181	39788864	-	ID=ENSG00000116985.12;gene_id=ENSG00000116985.12;gene_type=protein_coding;gene_name=BMP8B;level=2;hgnc_id=HGNC:1075;tag=overlapping_locus;havana_gene=OTTHUMG00000009247.2
chr1	gene	39769522	39771347	-	ID=ENSG00000198754.5;gene_id=ENSG00000198754.5;gene_type=protein_coding;gene_name=OXCT2;level=2;hgnc_id=HGNC:18606;tag=overlapping_locus;havana_gene=OTTHUMG00000009249.1
chr1	gene	39838109	39883510	-	ID=ENSG00000043514.17;gene_id=ENSG00000043514.17;gene_type=protein_coding;gene_name=TRIT1;level=2;hgnc_id=HGNC:20286;tag=ncRNA_host;havana_gene=OTTHUMG00000009245.6
chr1	gene	39895425	39902255	-	ID=ENSG00000116990.11;gene_id=ENSG00000116990.11;gene_type=protein_coding;gene_name=MYCL;level=2;hgnc_id=HGNC:7555;havana_gene=OTTHUMG00000009243.7
chr1	gene	39955111	39969967	+	ID=ENSG00000168389.18;gene_id=ENSG00000168389.18;gene_type=protein_coding;gene_name=MFSD2A;level=2;hgnc_id=HGNC:25897;tag=overlapping_locus;havana_gene=OTTHUMG00000009293.2
chr1	gene	40040232	40072648	+	ID=ENSG00000131236.18;gene_id=ENSG00000131236.18;gene_type=protein_coding;gene_name=CAP1;level=2;hgnc_id=HGNC:20040;havana_gene=OTTHUMG00000004493.3
chr1	gene	40072709	40097259	-	ID=ENSG00000131238.18;gene_id=ENSG00000131238.18;gene_type=protein_coding;gene_name=PPT1;level=1;hgnc_id=HGNC:9325;havana_gene=OTTHUMG00000004495.8
chr1	gene	40161386	40240920	+	ID=ENSG00000117000.9;gene_id=ENSG00000117000.9;gene_type=protein_coding;gene_name=RLF;level=2;hgnc_id=HGNC:10025;tag=ncRNA_host;havana_gene=OTTHUMG00000005763.2
chr1	gene	40245946	40251683	+	ID=ENSG00000188800.6;gene_id=ENSG00000188800.6;gene_type=protein_coding;gene_name=TMCO2;level=2;hgnc_id=HGNC:23312;havana_gene=OTTHUMG00000005764.2
chr1	gene	40258040	40294179	+	ID=ENSG00000084073.10;gene_id=ENSG00000084073.10;gene_type=protein_coding;gene_name=ZMPSTE24;level=2;hgnc_id=HGNC:12877;havana_gene=OTTHUMG00000005762.3
chr1	gene	40300488	40317812	-	ID=ENSG00000049089.15;gene_id=ENSG00000049089.15;gene_type=protein_coding;gene_name=COL9A2;level=2;hgnc_id=HGNC:2218;havana_gene=OTTHUMG00000005761.7
chr1	gene	40344849	40423325	+	ID=ENSG00000084070.12;gene_id=ENSG00000084070.12;gene_type=protein_coding;gene_name=SMAP2;level=2;hgnc_id=HGNC:25082;tag=overlapping_locus;havana_gene=OTTHUMG00000007301.7
chr1	gene	40450101	40463717	+	ID=ENSG00000187801.15;gene_id=ENSG00000187801.15;gene_type=protein_coding;gene_name=ZFP69B;level=2;hgnc_id=HGNC:28053;havana_gene=OTTHUMG00000007302.4
chr1	gene	40477289	40496342	+	ID=ENSG00000187815.10;gene_id=ENSG00000187815.10;gene_type=protein_coding;gene_name=ZFP69;level=2;hgnc_id=HGNC:24708;havana_gene=OTTHUMG00000007303.2
chr1	gene	40508740	40516037	+	ID=ENSG00000164002.12;gene_id=ENSG00000164002.12;gene_type=protein_coding;gene_name=EXO5;level=2;hgnc_id=HGNC:26115;havana_gene=OTTHUMG00000007305.3
chr1	gene	40531572	40548166	+	ID=ENSG00000117010.17;gene_id=ENSG00000117010.17;gene_type=protein_coding;gene_name=ZNF684;level=2;hgnc_id=HGNC:28418;havana_gene=OTTHUMG00000007359.6
chr1	gene	40620679	40665681	-	ID=ENSG00000117016.10;gene_id=ENSG00000117016.10;gene_type=protein_coding;gene_name=RIMS3;level=2;hgnc_id=HGNC:21292;havana_gene=OTTHUMG00000007453.2
chr1	gene	40691647	40771602	+	ID=ENSG00000066136.21;gene_id=ENSG00000066136.21;gene_type=protein_coding;gene_name=NFYC;level=1;hgnc_id=HGNC:7806;tag=ncRNA_host;havana_gene=OTTHUMG00000007729.5
chr1	gene	40783786	40840451	+	ID=ENSG00000117013.17;gene_id=ENSG00000117013.17;gene_type=protein_coding;gene_name=KCNQ4;level=2;hgnc_id=HGNC:6298;tag=ncRNA_host;havana_gene=OTTHUMG00000007730.6
chr1	gene	40861053	40862362	-	ID=ENSG00000179862.7;gene_id=ENSG00000179862.7;gene_type=protein_coding;gene_name=CITED4;level=2;hgnc_id=HGNC:18696;havana_gene=OTTHUMG00000007728.2
chr1	gene	40979299	41012564	+	ID=ENSG00000171793.17;gene_id=ENSG00000171793.17;gene_type=protein_coding;gene_name=CTPS1;level=2;hgnc_id=HGNC:2519;havana_gene=OTTHUMG00000005712.13
chr1	gene	41015588	41023236	-	ID=ENSG00000171790.16;gene_id=ENSG00000171790.16;gene_type=protein_coding;gene_name=SLFNL1;level=2;hgnc_id=HGNC:26313;havana_gene=OTTHUMG00000005719.1
chr1	gene	41027201	41242305	-	ID=ENSG00000010803.17;gene_id=ENSG00000010803.17;gene_type=protein_coding;gene_name=SCMH1;level=2;hgnc_id=HGNC:19003;havana_gene=OTTHUMG00000005720.3
chr1	gene	41361921	41383589	+	ID=ENSG00000204060.8;gene_id=ENSG00000204060.8;gene_type=protein_coding;gene_name=FOXO6;level=2;hgnc_id=HGNC:24814;tag=reference_genome_error;havana_gene=OTTHUMG00000005713.1
chr1	gene	41478774	41484682	-	ID=ENSG00000127129.10;gene_id=ENSG00000127129.10;gene_type=protein_coding;gene_name=EDN2;level=2;hgnc_id=HGNC:3177;havana_gene=OTTHUMG00000006362.2
chr1	gene	41506364	42035924	-	ID=ENSG00000127124.16;gene_id=ENSG00000127124.16;gene_type=protein_coding;gene_name=HIVEP3;level=2;hgnc_id=HGNC:13561;havana_gene=OTTHUMG00000192539.4
chr1	gene	41585305	41628815	-	ID=ENSG00000284895.1;gene_id=ENSG00000284895.1;gene_type=protein_coding;gene_name=ENSG00000284895;level=2;tag=overlapping_locus;havana_gene=OTTHUMG00000006361.5
chr1	gene	42153409	42155819	+	ID=ENSG00000044012.4;gene_id=ENSG00000044012.4;gene_type=protein_coding;gene_name=GUCA2B;level=2;hgnc_id=HGNC:4683;havana_gene=OTTHUMG00000007024.2
chr1	gene	42162689	42164744	-	ID=ENSG00000197273.4;gene_id=ENSG00000197273.4;gene_type=protein_coding;gene_name=GUCA2A;level=2;hgnc_id=HGNC:4682;havana_gene=OTTHUMG00000007023.2
chr1	gene	42176538	42335876	-	ID=ENSG00000198815.9;gene_id=ENSG00000198815.9;gene_type=protein_coding;gene_name=FOXJ3;level=1;hgnc_id=HGNC:29178;tag=overlapping_locus;havana_gene=OTTHUMG00000007026.5
chr1	gene	42380791	42424231	+	ID=ENSG00000177181.15;gene_id=ENSG00000177181.15;gene_type=protein_coding;gene_name=RIMKLA;level=2;hgnc_id=HGNC:28725;havana_gene=OTTHUMG00000007335.5
chr1	gene	42430328	42456252	-	ID=ENSG00000066185.13;gene_id=ENSG00000066185.13;gene_type=protein_coding;gene_name=ZMYND12;level=2;hgnc_id=HGNC:21192;havana_gene=OTTHUMG00000007333.3
chr1	gene	42456116	42473384	+	ID=ENSG00000127125.9;gene_id=ENSG00000127125.9;gene_type=protein_coding;gene_name=PPCS;level=2;hgnc_id=HGNC:25686;tag=overlapping_locus;havana_gene=OTTHUMG00000007332.5
